id,name,slug,author name,sku,price,Old_price,is_active,is_bestseller,is_featured,description,meta_keywords,meta_description,created_at,updated_at,image,thumbnail,image_caption
1,"No Place to Hide: Edward Snowden, the NSA, and the U.S. Surveillance State ",,Hardcover by Glenn Greenwald ,10000,16.2,27,Y,Y,Y,"In May 2013, Glenn Greenwald set out for Hong Kong to meet an anonymous source who claimed to have astonishing evidence of pervasive government spying and insisted on communicating only through heavily encrypted channels. That source turned out to be the 29-year-old NSA contractor Edward Snowden, and his revelations about the agency’s widespread, systemic overreach proved to be some of the most explosive and consequential news in recent history, triggering a fierce debate over national security and information privacy. As the arguments rage on and the government considers various proposals for reform, it is clear that we have yet to see the full impact of Snowden’s disclosures.",book,best book of the month,,,,,10000_books
2,End Times ,,Hardcover by Anna Schumacher,10001,13.49,17.99,Y,Y,Y,"Carbon County, Wyoming is like a current running through Daphne’s heart.When life gets too tough to bear in Detroit, Daphne flees to her Uncle Floyd’s home, where she believes she’ll find solace in the silent hills of her childhood summers. But Daphne’s Greyhound bus pulls over in downtown Carbon County and it’s not silence that welcomes her. It’s the sound of trumpets.",teen book,Teen & Young Adult,,,,,10001_books.jpg
3,The Falconer: Book 1,,Hardcover by Elizabeth May,10002,14.51,17.99,Y,Y,Y,"Debutante by day. Murderess by night. Edinburgh's only hope.Edinburgh, 1844. Beautiful Aileana Kameron only looks the part of an aristocratic young lady. In fact, she's spent the year since her mother died developing her ability to sense the presence of Sithichean, a faery race bent on slaughtering humans. She has a secret mission: to destroy the faery who murdered her mother. But when she learns she's a Falconer, the last in a line of female warriors and the sole hope of preventing a powerful faery population from massacring all of humanity, her quest for revenge gets a whole lot more complicated. ",teen book,Teen & Young Adult,,,,,10002_books.jpg
4,Batman Vol. 4: Zero Year-Secret City (The New 52) ,,Hardcover by Scott Snyder ,10003,14.99,24.99,Y,Y,Y,"The fourth volume in Scott Snyder and Greg Capullo's best-selling run on Batman!Still dealing with the death of his son and the aftermath of Death of the Family, Batman must stop a robbery by Bruce Wayne? Twists and turns are around every corner as Bruce must clear his name and stop this mysterious perpetrator, all leading to the epic ""Zero Year.""",comics book,Comics & Graphic Novels,,,,,10003_books.jpg
5,The Sworn Sword: The Graphic Novel (A Game of Thrones),,Paperback by George R. R. Martin ,10004,8.44,14.95,Y,Y,Y,"In this comic book/graphic novel adaptation set one hundred years before the events in George R.R. Martin’s epic fantasy series, A Song of Ice and Fire, The Sworn Sword follows the adventures of Ser Duncan and his squire, Egg, as they quest for honor and glory in the Seven Kingdoms.",comics book,Comics & Graphic Novels,,,,,10004_books.jpg
6,Michael Jordan: The Life,,Hardcover by Roland Lazenby,10005,22.68,30,Y,Y,Y,"""It's not every day that I'm blown away by a book about a sports figure. But MICHAEL JORDAN: THE LIFE, by Roland Lazenby, ranks up there with the very best: The Boys of Summer by Roger Kahn, Friday Night Lights by Buzz Bissinger, and Joe DiMaggio by Richard Ben Cramer. The depth of reporting, his frequent ascent into poetry, and his intelligent analysis of the life of this complicated, fascinating American icon deserve Pulitzer Prize consideration. For the first time I understand what makes Michael Jordan tick. I was captivated, fascinated and beguiled from beginning to end."" -- Peter Golenbock, New York Times-bestselling author of George and In the Country of Brooklyn ",biographies book,Biographies & Memoirs,,,,,10005_books.jpg
7,"Delancey: A Man, a Woman, a Restaurant, a Marriage",,Hardcover by Molly Wizenberg ,10006,15,25,Y,Y,Y,"In this funny, frank, and tender new memoir, the author of the New York Times bestseller A Homemade Life and the blog Orangette recounts how opening a restaurant sparked the first crisis of her young marriage.",biographies book,Biographies & Memoirs,,,,,10006_books.jpg
8,The Spy Catchers of Maple Hill,,Hardcover by Megan Frazer Blakemore,10007,13.22,16.99,Y ,Y,Y,"Hazel Kaplansky is a firm believer in the pursuit of knowledge and truth—and she also happens to love a good mystery. When suspicions swirl that a Russian spy has infiltrated her small town of Maple Hill, Vermont, amidst the fervor of Cold War era McCarthyism, Hazel knows it’s up to her to find a suspect… starting with Mr. Jones, the quietly suspicious grave digger. Plus she’s found a perfect sleuthing partner in Samuel Butler, the new boy in school with a few secrets of his own. But as Hazel and Samuel piece together clues from the past and present, the truth is suddenly not what they expected, and what they find reveals more about themselves and the people of their cozy little town than they could ever have imagined.",children's book,Middle Grade,,,,,10007_books.jpg
9,Timmy Failure: Now Look What You've Done ,,Hardcover by Stephan Pastis,10008,8.99,14.99,Y,Y,Y,"The clueless, comically self-confident kid detective returns in a sequel to the New York Times bestseller Timmy Failure: Mistakes Were Made.",children's book,Middle Grade,,,,,10008_books.jpg
10,Think Like a Freak: The Authors of Freakonomics Offer to Retrain Your Brain,,Hardcover – Deckle Edge,10009,17.39,28.99,Y,Y,Y,"The New York Times bestselling Freakonomics changed the way we see the world, exposing the hidden side of just about everything. Then came SuperFreakonomics, a documentary film, an award-winning podcast, and more.",Business book, Business & Leadership,,,,,10009_books.jpg
